# R = Reference implementation exists. (bcpoc or cherteau; or maybe embedded in some other project)
# C = Player count. 1 or 2.
# E = Extra prizes.
# D = Done.
# Opponent and Zone aren't set in stone, just throwing some ideas out there.
#RC____D NAME              OPPONENT           ZONE
  2      Flipping          Ostrich            Desert
  2      FloeChart         PolarBear          Tundra
  2      Flying            Sparrow            Farm
  2      FrogEating        Pelican            Sea
  2____D Gobbling          Goblin             Goblins
  2____D Golf              Unicorn            Labyrinth
  2      Harvesting        Picker             Farm
  2____D Hiring            Joblin             Goblins
  2____D Hockey            IceDragon          IcePalace
  2____D HomeRunDerby      Ballplayer         Fractia
  2      Hopscotch         Frog               Woodland
  2      Hurdles           Herald             Battlefield
  2      Imitation         Monkey             Jungle
  2____D Jeter             Dancer             Fractia
  2      Jewelry           Princess           City
  2      Joust             Cavalier           Battlefield
  2      Juggling          Octopus            Jungle
 R2      Jumprope          Joey               Desert
 R2      KarateChop        Sensei             Battlefield
  2____D Latin             Teacher            Fractia
  2____D Lawnmowing        Gardener           Fractia
  2____D Laziness          Sloblin            Goblins
 R2      Levitation        Monk               Desert
  2      Licking           Puppy              Farm
  2      Lighting          Acolyte            City
  2      Math              Owl                Woodland
  2____D MindControl       Nyarlathotep       Labyrinth
  2      Mixing            Drunk              City
  2____D MorseCode         Walrus             Tundra
  2      Newspaper         Boy                City
  2      Pairing           Snake              Jungle
 R2      Parachute         Chicken            Desert
  2      Parkour           Lizard             Cave
  2____D Petrifying        Medusa             Labyrinth
  2      Photography       Photographer       Woodland
  2      PianoThrowing     Gorilla            Jungle
  2      Pilfering         Rabbit             Cave
  1      Pitching          Baboon             Jungle
  2____D Plumbing          Plumber            Fractia
  2      Popping           Farmer             Farm
  2      Pouring           Dowager            City
  2      Protecting        Goose              Farm
  2____D Pushing           Golem              Labyrinth
  2____D Racketeering      Moblin             Goblins
  2      Ramming           Orca               Sea
  2      RatRace           Rat                Cave
  2      Rebounding        Hoplite            Battlefield
  2____D Regex             Globlin            Goblins
  2      Remembering       Elephant           Jungle
  2____D Rescuing          Firefighter        Fractia
  2      Robohorse         Cavalier           Battlefield
  2      Rodeo             Cowpoke            Desert
 R2      Rollerskates      Rabbit             Woodland
  2      Rowing            Viking             Sea
  2____D Sawing            Carpenter          Fractia
  2      Scaring           Ghost              City
  2      ScubaTuba         Tuna               Sea
  2____D Shaking           Bartender          Fractia
  2      Sharing           Bear               Woodland
  2      Shovelling        Miner              Cave
  2____D Shuffling         Dealer             Fractia
  2      Skiing            Reindeer           Tundra
  2____D SkiJump           IceDragon          IcePalace
  2      Skipping          Duck               Farm
  2____D Slapping          Gambler            Fractia
  2      Slicing           Ninja              Battlefield
  2      Sliding           Penguin            Tundra
  2____D Smashing          Ogre               Labyrinth
  2      Snorkel           Seal               Tundra
  2      SnowballFight     Snowman            Tundra
  2____D Snowboard         IceDragon          IcePalace
  2      Snaring           Drummer            Battlefield
  2      Sonar             Bat                Cave
  2____D Sorting           Clerk              Fractia
  2      Sparing           Beetle             Desert
  2____D Stacking          Waiter             Fractia
  1      Staring           Deer               Woodland
  2E___D Stealing          Roblin             Goblins
  2      Steering          Buck               Farm
  2____D Stenography       Secretary          Fractia
 R2      Stirring          Mouse              Woodland
  2____D Strangling        RootDevil          All
  2____D SumoHorse         Wrestler           Fractia
  2      Surrounding       Snake              Jungle
 R2      Swearing          Sailor             Sea
  2      Swinging          Kid                City
  2____D Telekinesis       Psychic            Labyrinth
  2      Tempting          Siren              Sea
  2____D Throwing          Loblin             Goblins
  2      TicTacToe         Raccoon            Woodland
  2____D Topping           HotDogVendor       Fractia
 R2____D Traffic           Cop                Fractia
 R2      Umbrella          Kitten             Farm
  2____D Watching          Cook               Fractia
  2      Watermelon        Aardvark           Desert
  2      Weaving           Spider             Cave
  2      Whining           Cub                Woodland
  2      Wining            Hippopotamus       Farm
  2      Wrapping          Santa              Tundra
  2      Wrecking          Vandal             Battlefield
